# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01948e-05 to 7.94874 h/Mpc,
# number of wavenumbers equal to 609
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2              8:-T_tot_no_scf/k2   
       7.864617944000e-03       1.682677684644e+07       1.679204324618e+07      -7.965678188453e+03      -8.087543725744e+03       1.225305146485e+07       4.913321437819e+06       1.679508483779e+07 
       7.990340411812e-03       1.676917716622e+07       1.673422253676e+07      -7.690714328605e+03      -7.808369117090e+03       1.214940907943e+07       4.896401388141e+06       1.673724740457e+07 
       8.116134599637e-03       1.671162946451e+07       1.667646198981e+07      -7.428726659850e+03      -7.542369476536e+03       1.204643810125e+07       4.879497843429e+06       1.667946619113e+07 
       8.241997931341e-03       1.665413606265e+07       1.661876336912e+07      -7.178933754376e+03      -7.288751392953e+03       1.194413013331e+07       4.862611354922e+06       1.662174337659e+07 
       8.367927994321e-03       1.659670857403e+07       1.656113769616e+07      -6.940614594352e+03      -7.046782799947e+03       1.184248234560e+07       4.845745226869e+06       1.656409040642e+07 
       8.493922528452e-03       1.653935172707e+07       1.650358928690e+07      -6.713096276611e+03      -6.815780496894e+03       1.174148590875e+07       4.828900844318e+06       1.650651187653e+07 
       8.619979415933e-03       1.648206078640e+07       1.644611224273e+07      -6.495750177368e+03      -6.595106237717e+03       1.164112447111e+07       4.812076819603e+06       1.644900280767e+07 
       8.746096671961e-03       1.642484667331e+07       1.638871750074e+07      -6.287998437932e+03      -6.384173312162e+03       1.154139255135e+07       4.795276343695e+06       1.639157404371e+07 
       8.872272436150e-03       1.636771274894e+07       1.633140741178e+07      -6.089300662813e+03      -6.182433040421e+03       1.144227920886e+07       4.778500287513e+06       1.633422871217e+07 
       8.998504964634e-03       1.631066517605e+07       1.627418765969e+07      -5.899154507069e+03      -5.989375376345e+03       1.134377607205e+07       4.761750360753e+06       1.627697282735e+07 
       9.124792622796e-03       1.625370560602e+07       1.621705912996e+07      -5.717089470468e+03      -5.804522613770e+03       1.124587266705e+07       4.745026991009e+06       1.621980785773e+07 
       9.251133878552e-03       1.619684092562e+07       1.616002816996e+07      -5.542668007573e+03      -5.627430510562e+03       1.114856376002e+07       4.728332189622e+06       1.616274054291e+07 
       9.377527296168e-03       1.614007651850e+07       1.610309979976e+07      -5.375481031789e+03      -5.457683717036e+03       1.105184523861e+07       4.711667533636e+06       1.610577616091e+07 
       9.503971530539e-03       1.608341237313e+07       1.604627325827e+07      -5.215144599736e+03      -5.294892407304e+03       1.095571170867e+07       4.695032970239e+06       1.604891455214e+07 
       9.630465321907e-03       1.602685554790e+07       1.598955545362e+07      -5.061301953975e+03      -5.138694355465e+03       1.086016560060e+07       4.678430518423e+06       1.599216272681e+07 
       9.757007490974e-03       1.597041114461e+07       1.593295101104e+07      -4.913618221035e+03      -4.988749557201e+03       1.076521103463e+07       4.661861624840e+06       1.593552570274e+07 
       9.883596934379e-03       1.591408052156e+07       1.587646109611e+07      -4.771778250223e+03      -4.844738036307e+03       1.067085287939e+07       4.645326690190e+06       1.587900482291e+07 
