#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.100613308690e+00       1.553347057302e-05      -1.663085282962e-03      -9.763093764428e-08       4.002735073348e-08       1.000683768337e-07       1.061820044199e-13       2.001367536674e-08      -1.247313962222e-03      -9.763093626012e-08       6.010713474500e-01       6.968900836367e-01      -1.663084594537e-03      -1.463787860390e-07       2.014401338749e-04      -1.247314996319e-03       1.277513872043e-32      -1.664798010648e-03      -1.465297557022e-07       2.016474475458e-04       3.333325945902e-01      -2.327837576850e-09      -3.949446938339e-12 
       7.106846451864e+00       1.554728207125e-05      -1.665990283810e-03      -9.788672588385e-08       4.013358543965e-08       1.003339635991e-07       1.066532246558e-13       2.006679271983e-08      -1.249492712857e-03      -9.788672368111e-08       6.010712918127e-01       6.968874404932e-01      -1.665989189712e-03      -1.467638389064e-07       2.017930108499e-04      -1.249494356299e-03       5.102055134659e-32      -1.667705598171e-03      -1.469152048369e-07       2.020006872714e-04       3.333325932759e-01      -3.686365090874e-09      -9.946188602891e-12 
       7.113079595037e+00       1.556109387772e-05      -1.668897793998e-03      -9.814295755507e-08       4.024000912029e-08       1.006000228007e-07       1.071261237353e-13       2.012000456015e-08      -1.251673345499e-03      -9.814295452945e-08       6.010712361374e-01       6.968847977688e-01      -1.668896293151e-03      -1.471495646376e-07       2.021461957187e-04      -1.251675599881e-03       1.310835909513e-31      -1.670615696146e-03      -1.473013274920e-07       2.023542351579e-04       3.333325919604e-01      -5.038782550258e-09      -1.866114925107e-11 
       7.119312738210e+00       1.557490599244e-05      -1.671807813450e-03      -9.839963303199e-08       4.034662188047e-08       1.008665547012e-07       1.076007060007e-13       2.017331094024e-08      -1.253855860088e-03      -9.839962917915e-08       6.010711808454e-01       6.968821559318e-01      -1.671805904777e-03      -1.475359638146e-07       2.024996884768e-04      -1.253858727009e-03       2.683617198956e-31      -1.673528303208e-03      -1.476881241364e-07       2.027080910448e-04       3.333325906437e-01      -6.385122223151e-09      -3.009197214060e-11 
       7.125545881384e+00       1.558871841541e-05      -1.674720342087e-03      -9.865675268923e-08       4.045342386858e-08       1.011335596715e-07       1.080769759171e-13       2.022671193429e-08      -1.256040256566e-03      -9.865674800481e-08       6.010711260820e-01       6.968795151423e-01      -1.674718024510e-03      -1.479230370202e-07       2.028534891193e-04      -1.256043737627e-03       4.782506275344e-31      -1.676443418823e-03      -1.480755953134e-07       2.030622548724e-04       3.333325893259e-01      -7.725416189888e-09      -4.423630876801e-11 
       7.131779024557e+00       1.560253114662e-05      -1.677635379831e-03      -9.891431690155e-08       4.056041527743e-08       1.014010381936e-07       1.085549380763e-13       2.028020763871e-08      -1.258226534874e-03      -9.891431138121e-08       6.010710717134e-01       6.968768752490e-01      -1.677632652268e-03      -1.483107848377e-07       2.032075976414e-04      -1.258230631679e-03       7.761254734994e-31      -1.679361043308e-03      -1.484637416413e-07       2.034167266839e-04       3.333325880068e-01      -9.059696336723e-09      -6.109182188345e-11 
       7.138012167730e+00       1.561634418608e-05      -1.680552926605e-03      -9.917232604351e-08       4.066759634529e-08       1.016689908632e-07       1.090345972007e-13       2.033379817265e-08      -1.260414694954e-03      -9.917231968286e-08       6.010710173230e-01       6.968742357849e-01      -1.680549787973e-03      -1.486992078500e-07       2.035620140385e-04      -1.260419409110e-03       1.177325610309e-30      -1.682281177849e-03      -1.488525638151e-07       2.037715066280e-04       3.333325866865e-01      -1.038799435107e-08      -8.065618794451e-11 
       7.156072940577e+00       1.565636974143e-05      -1.689020797861e-03      -9.992243329397e-08       4.097923093701e-08       1.024480773425e-07       1.104340543096e-13       2.048961546850e-08      -1.266765598396e-03      -9.992242447371e-08       6.010708546988e-01       6.968665847725e-01      -1.689016462009e-03      -1.498284964647e-07       2.045906876516e-04      -1.266772110449e-03       3.064269552557e-30      -1.690756568117e-03      -1.499830140348e-07       2.048012369136e-04       3.333325828543e-01      -1.420329965150e-08      -1.526193462176e-10 
       7.174133713424e+00       1.569639788473e-05      -1.697509731857e-03      -1.006762883032e-07       4.129246368193e-08       1.032311592048e-07       1.118479086905e-13       2.064623184096e-08      -1.273132298893e-03      -1.006762769862e-07       6.010706907406e-01       6.968589360288e-01      -1.697504189631e-03      -1.509634728977e-07       2.056219459848e-04      -1.273140622425e-03       6.318188431646e-30      -1.699253033380e-03      -1.511191578918e-07       2.058335545303e-04       3.333325790119e-01      -1.796940100133e-08      -2.472503360643e-10 
       7.192194486271e+00       1.573642861598e-05      -1.706019726766e-03      -1.014339001759e-07       4.160729821159e-08       1.040182455290e-07       1.132762706067e-13       2.080364910580e-08      -1.279514795075e-03      -1.014338863247e-07       6.010705288604e-01       6.968512933229e-01      -1.706012968964e-03      -1.521041513215e-07       2.066557889398e-04      -1.279524943734e-03       1.130829501579e-29      -1.707770561162e-03      -1.522610086279e-07       2.068684580954e-04       3.333325751595e-01      -2.168704208642e-08      -3.644943797552e-10 
       7.210255259118e+00       1.577646193519e-05      -1.714550780771e-03      -1.021952780159e-07       4.192374005771e-08       1.048093501443e-07       1.147192560779e-13       2.096187002885e-08      -1.285913085579e-03      -1.021952615927e-07       6.010703608642e-01       6.968436474681e-01      -1.714542798145e-03      -1.532505459093e-07       2.076922164207e-04      -1.285925073082e-03       1.840200100612e-29      -1.716309175037e-03      -1.534085826974e-07       2.079059505948e-04       3.333325712971e-01      -2.535695356209e-08      -5.042975322221e-10 
       7.228316031965e+00       1.581649784235e-05      -1.723102892053e-03      -1.029604309258e-07       4.224179221506e-08       1.056044805377e-07       1.161769748099e-13       2.112089610753e-08      -1.292327169041e-03      -1.029604118925e-07       6.010701940493e-01       6.968360065715e-01      -1.723093675308e-03      -1.544026708338e-07       2.087312283308e-04      -1.292341009173e-03       2.796490402010e-29      -1.724868850499e-03      -1.545618922686e-07       2.089460291893e-04       3.333325674246e-01      -2.897985329571e-08      -6.666066744821e-10 
       7.246376804813e+00       1.585653633746e-05      -1.731676058778e-03      -1.037293680055e-07       4.256145905742e-08       1.064036476435e-07       1.176495408447e-13       2.128072952871e-08      -1.298757044085e-03      -1.037293463237e-07       6.010700272842e-01       6.968283693306e-01      -1.731665598571e-03      -1.555605402658e-07       2.097728245692e-04      -1.298772750699e-03       4.036078744402e-29      -1.733449589111e-03      -1.557209518310e-07       2.099886941949e-04       3.333325635420e-01      -3.255644660884e-08      -8.513695099564e-10 
       7.322376524570e+00       1.602504665527e-05      -1.767982615468e-03      -1.070067265116e-07       4.392440935673e-08       1.098110233918e-07       1.240113999334e-13       2.196220467836e-08      -1.325986961605e-03      -1.070066932569e-07       6.010693008898e-01       6.967962429540e-01      -1.767966819335e-03      -1.604961215115e-07       2.141841768605e-04      -1.326010675732e-03       1.317437206115e-28      -1.769788172001e-03      -1.606616087867e-07       2.144045764143e-04       3.333325470937e-01      -4.711483886161e-08      -1.873737162313e-09 
