# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   97       2.606709700422e+03       7.281286850224e-01       2.979953116363e-03      -2.119593235458e+01       1.030814046534e-07       4.120466229890e-04      -1.940668644643e-06 
   98       2.637408077625e+03       7.432128212255e-01       3.042329341374e-03      -2.185177810546e+01       1.024497107067e-07       4.075960354217e-04      -1.948198948024e-06 
   99       2.668320935280e+03       7.581831788470e-01       3.105400385798e-03      -2.250936018395e+01       1.018280213440e-07       4.032603809551e-04      -1.955487539878e-06 
  100       2.699443316412e+03       7.730250961486e-01       3.169170723960e-03      -2.316816918891e+01       1.012160784391e-07       3.990330545412e-04      -1.962325219657e-06 
  101       2.730768801275e+03       7.877237163033e-01       3.233645033785e-03      -2.382768652109e+01       1.006121784559e-07       3.949030844302e-04      -1.968473649557e-06 
  102       2.762289452942e+03       8.022639906632e-01       3.298828200949e-03      -2.448738450508e+01       1.000130057741e-07       3.908548251147e-04      -1.973663755305e-06 
  103       2.793995762888e+03       8.166306820280e-01       3.364725323022e-03      -2.514672651135e+01       9.941345792764e-08       3.868676431259e-04      -1.977594093305e-06 
  104       2.825878650355e+03       8.308087478750e-01       3.431341562175e-03      -2.580517310966e+01       9.880853718015e-08       3.829222433152e-04      -1.980001417703e-06 
  105       2.857935885201e+03       8.447845419703e-01       3.498681671695e-03      -2.646220121338e+01       9.820002732904e-08       3.790218246750e-04      -1.980892430043e-06 
  106       2.890166435283e+03       8.585447819265e-01       3.566750412939e-03      -2.711728776074e+01       9.759126056529e-08       3.751745988435e-04      -1.980355737801e-06 
  107       2.922568458700e+03       8.720761910890e-01       3.635552703526e-03      -2.776990410035e+01       9.698513061681e-08       3.713873974585e-04      -1.978494348975e-06 
  108       2.955139271951e+03       8.853655059799e-01       3.705093619815e-03      -2.841951617945e+01       9.638402264138e-08       3.676655497590e-04      -1.975426343569e-06 
  109       2.987875318095e+03       8.983994837412e-01       3.775378399390e-03      -2.906558473219e+01       9.578973954165e-08       3.640127572341e-04      -1.971285557011e-06 
  110       3.020772134902e+03       9.111649095789e-01       3.846412443543e-03      -2.970756546790e+01       9.520342463327e-08       3.604309653170e-04      -1.966222275505e-06 
  111       3.053824323011e+03       9.236486042063e-01       3.918201319756e-03      -3.034490925936e+01       9.462548059730e-08       3.569202321273e-04      -1.960403943339e-06 
  112       3.087025514087e+03       9.358374312875e-01       3.990750764189e-03      -3.097706233105e+01       9.405548464789e-08       3.534785942589e-04      -1.954015882118e-06 
  113       3.120368338977e+03       9.477183048813e-01       4.064066684155e-03      -3.160346644748e+01       9.349209984631e-08       3.501019296150e-04      -1.947262021945e-06 
  114       3.153844395867e+03       9.592781968846e-01       4.138155160609e-03      -3.222355910140e+01       9.293298249249e-08       3.467838172897e-04      -1.940365644542e-06 
  115       3.187444218435e+03       9.705041444759e-01       4.213022450632e-03      -3.283677370208e+01       9.237468552498e-08       3.435153944957e-04      -1.933570138307e-06 
  116       3.221158561396e+03       9.813836127125e-01       4.288674799748e-03      -3.344254535940e+01       9.181392489797e-08       3.402883371176e-04      -1.927088184594e-06 
  117       3.254982502515e+03       9.919056164209e-01       4.365117847697e-03      -3.404032863113e+01       9.125195626826e-08       3.371047401244e-04      -1.920937076719e-06 
  118       3.288911781845e+03       1.002059749320e+00       4.442357154745e-03      -3.462958229697e+01       9.069106373182e-08       3.339687604477e-04      -1.915074876007e-06 
  119       3.322941508988e+03       1.011835851541e+00       4.520398386173e-03      -3.520976419099e+01       9.013324605290e-08       3.308835781559e-04      -1.909448792422e-06 
  120       3.357066142903e+03       1.021224020211e+00       4.599247313078e-03      -3.578033143938e+01       8.958017665211e-08       3.278513243974e-04      -1.903994584162e-06 
  121       3.391279471707e+03       1.030214620037e+00       4.678909813177e-03      -3.634074069820e+01       8.903316177050e-08       3.248730078132e-04      -1.898635945682e-06 
  122       3.425574592479e+03       1.038798293890e+00       4.759391871607e-03      -3.689044839110e+01       8.849309677778e-08       3.219484394213e-04      -1.893283884191e-06 
  123       3.459943891069e+03       1.046965973390e+00       4.840699581727e-03      -3.742891094714e+01       8.796042059355e-08       3.190761559700e-04      -1.887836084588e-06 
  124       3.494379021896e+03       1.054708889485e+00       4.922839145921e-03      -3.795558503845e+01       8.743506818959e-08       3.162533417629e-04      -1.882176262852e-06 
  125       3.528870887756e+03       1.062018583040e+00       5.005816876397e-03      -3.846992781803e+01       8.691642114209e-08       3.134757489536e-04      -1.876173507889e-06 
  126       3.563409619624e+03       1.068886915418e+00       5.089639195992e-03      -3.897139715750e+01       8.640325620198e-08       3.107376163107e-04      -1.869681611824e-06 
  127       3.597984556461e+03       1.075306079066e+00       5.174312638974e-03      -3.945945188480e+01       8.589369185204e-08       3.080315864538e-04      -1.862538388751e-06 
  128       3.632584225016e+03       1.081268608096e+00       5.259843851840e-03      -3.993355202200e+01       8.538513281915e-08       3.053486215595e-04      -1.854564981928e-06 
  129       3.667197507271e+03       1.086767688943e+00       5.346239395665e-03      -4.039316522116e+01       8.487518334257e-08       3.026807621794e-04      -1.845609031759e-06 
