# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03233e-05 to 167.815 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.390478130389e-03       1.888930860832e+07       1.877537482896e+07       5.695018332142e+04       4.987418548139e+04       1.737671233744e+07       5.687770048285e+06 
       2.498733776543e-03       1.883982000779e+07       1.872600410002e+07       4.389002177187e+04       3.648440593904e+04       1.724191780775e+07       5.672156131469e+06 
       2.608331282909e-03       1.878954327506e+07       1.867549636336e+07       2.357050930651e+04       1.798524121130e+04       1.710601590154e+07       5.656316342273e+06 
       2.719153020603e-03       1.873849274189e+07       1.862393105686e+07       9.845209223086e+03       7.029852565353e+03       1.696932448990e+07       5.640344775375e+06 
       2.831091924111e-03       1.868663526368e+07       1.857138908688e+07       8.893260517686e+03       7.866430653952e+03       1.683211684818e+07       5.624304832970e+06 
       2.944050812675e-03       1.863391441588e+07       1.851794930967e+07       1.483412819789e+04       1.344561356068e+04       1.669462107672e+07       5.608221843851e+06 
       3.057941654148e-03       1.858028584364e+07       1.846369620390e+07       1.720303145217e+04       1.392917640379e+04       1.655703128775e+07       5.592085963276e+06 
       3.172684812194e-03       1.852572735935e+07       1.840870519017e+07       1.152348249251e+04       7.716625301329e+03       1.641949894327e+07       5.575856172532e+06 
       3.288208305282e-03       1.847026524324e+07       1.835305752341e+07       2.303110533953e+03       8.418503502930e+03       1.628233978468e+07       5.559477380441e+06 
       3.404447096299e-03       1.841396271648e+07       1.829682577959e+07      -3.296830155530e+03       2.104464709021e+04       1.614552606414e+07       5.542888040814e+06 
       3.521342424333e-03       1.835691818620e+07       1.824007772499e+07      -3.248403664335e+03       3.591317930621e+04       1.600917988623e+07       5.526034035627e+06 
       3.638841184924e-03       1.829925036799e+07       1.818287414384e+07      -1.636798579207e+03       4.271712435102e+04       1.587346516366e+07       5.508878173891e+06 
       3.756895361297e-03       1.824108655130e+07       1.812526796843e+07      -2.874968106720e+03       3.979406651488e+04       1.573851931386e+07       5.491408529115e+06 
       3.875461506563e-03       1.818255261324e+07       1.806730697644e+07      -6.458729241286e+03       3.347263990340e+04       1.560445749250e+07       5.473644278808e+06 
       3.994500275189e-03       1.812376010719e+07       1.800903311738e+07      -8.087718663847e+03       3.081425477284e+04       1.547137392851e+07       5.455634503419e+06 
       4.113976000989e-03       1.806479333697e+07       1.795047988342e+07      -5.211707491249e+03       3.318378613750e+04       1.533934187180e+07       5.437450349647e+06 
       4.233856318347e-03       1.800571259423e+07       1.789168083081e+07      -2.287257852187e+02       3.634146190031e+04       1.520842285766e+07       5.419175941073e+06 
       4.354111823107e-03       1.794654829719e+07       1.783266721518e+07       2.223463239587e+03       3.586391335536e+04       1.507866635995e+07       5.400893466953e+06 
       4.474715769511e-03       1.788730007157e+07       1.777346262243e+07       4.267004858834e+02       3.166862930383e+04       1.495010645825e+07       5.382669260706e+06 
       4.595643799716e-03       1.782795562246e+07       1.771409663093e+07      -2.830050126626e+03       2.740171040243e+04       1.482277419372e+07       5.364548051547e+06 
       4.716873702543e-03       1.776848797498e+07       1.765459274108e+07      -2.128350947726e+04      -2.164988126540e+04       1.469668795080e+07       5.346541828669e+06 
       4.838385198396e-03       1.770886995196e+07       1.759497418795e+07      -2.015191329991e+04      -2.049893140824e+04       1.457185847723e+07       5.328639362595e+06 
       4.960159747514e-03       1.764908616657e+07       1.753526592637e+07      -1.910067633074e+04      -1.942973959534e+04       1.444829146307e+07       5.310799536391e+06 
       5.082180378991e-03       1.758912897606e+07       1.747548333065e+07      -1.812430796185e+04      -1.843668871193e+04       1.432597732871e+07       5.292966200095e+06 
       5.204431538259e-03       1.752902705802e+07       1.741565822537e+07      -1.721766143802e+04      -1.751451899230e+04       1.420491464786e+07       5.275085559694e+06 
       5.326898950945e-03       1.746880621243e+07       1.735579844106e+07      -1.637559842040e+04      -1.665799032840e+04       1.408507624776e+07       5.257106891741e+06 
       5.449569501274e-03       1.740851906683e+07       1.729592466207e+07      -1.559293417374e+04      -1.586182683814e+04       1.396644073837e+07       5.239002136550e+06 
       5.572431123356e-03       1.734822351832e+07       1.723605510444e+07      -1.486440854261e+04      -1.512068647576e+04       1.384898019272e+07       5.220767952910e+06 
       5.695472703915e-03       1.728797005220e+07       1.717620213811e+07      -1.418480847051e+04      -1.442928251687e+04       1.373265943148e+07       5.202424145562e+06 
       5.818683995157e-03       1.722780050624e+07       1.711637765944e+07      -1.354914002286e+04      -1.378255480847e+04       1.361744040997e+07       5.184011395685e+06 
       5.942055536648e-03       1.716774628481e+07       1.705659641652e+07      -1.295280817643e+04      -1.317584879594e+04       1.350328678083e+07       5.165584506202e+06 
       6.065578585177e-03       1.710781494553e+07       1.699686457169e+07      -1.239176688400e+04      -1.260506469814e+04       1.339015572113e+07       5.147198862493e+06 
       6.189245051740e-03       1.704800341361e+07       1.693719234868e+07      -1.186262503556e+04      -1.206676294471e+04       1.327800875561e+07       5.128903882551e+06 
       6.313047444829e-03       1.698829819971e+07       1.687758926025e+07      -1.136267168232e+04      -1.155818871185e+04       1.316680965228e+07       5.110733008638e+06 
       6.436978819359e-03       1.692867679687e+07       1.681806122654e+07      -1.088982648741e+04      -1.107722178175e+04       1.305652216223e+07       5.092697510305e+06 
       6.561032730593e-03       1.686912044836e+07       1.675861642813e+07      -1.044251949458e+04      -1.062225587774e+04       1.294711584052e+07       5.074787519415e+06 
       6.685203192556e-03       1.680961708005e+07       1.669926401975e+07      -1.001953655041e+04      -1.019204364971e+04       1.283856486436e+07       5.056974806382e+06 
       6.809484640424e-03       1.675015941364e+07       1.664000846801e+07      -9.619847876565e+03      -9.785524844819e+03       1.273084388407e+07       5.039217932028e+06 
       6.933871896495e-03       1.669075211621e+07       1.658085488744e+07      -9.242456292925e+03      -9.401674305149e+03       1.262393226716e+07       5.021472687217e+06 
       7.058360139343e-03       1.663141303658e+07       1.652181193150e+07      -8.886285698848e+03      -9.039390239246e+03       1.251781592304e+07       5.003701593018e+06 
