# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:(.)w_scf              25:(.)Om                 26:(.)Our                27:(.)Oscf               28:(.)OscfKin            29:(.)Otot               30:(.)rho_tot            31:(.)p_tot              32:(.)p_tot_prime        33:gr.fac. D             34:gr.fac. f             35:beta                  36:dbeta/dz           
       8.065578922741e+13       1.160861325951e-25       5.740730557591e-09       1.404803357093e+22       1.406980783868e+04       1.744426280302e-10       1.134811455507e+18       3.314815656492e-09       1.164451092389e+44       1.329316086433e+33       7.017294405143e+33       2.679457045994e+43       8.931523486648e+42       5.410756750284e+43       1.973472472100e+44       5.302026721262e+14       5.302026721262e+14      -1.846936223369e+23       1.568700004131e-07       4.037387264324e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.229403049486e-11       8.642262770467e-01       2.686648431240e-30       2.686648431240e-30       8.642262770890e-01       1.973472472100e+44       6.578241573389e+43      -4.582999402565e+52       7.871472067524e-06       1.398641300226e+00       7.071067811865e-05       0.000000000000e+00 
       7.979346461238e+13       1.186087662361e-25       5.802576197311e-09       1.374925260221e+22       1.406980783868e+04       1.763278221723e-10       1.122678713879e+18       3.350638729831e-09       1.115445515164e+44       1.287133495018e+33       6.794617748185e+33       2.566692894674e+43       8.555642982246e+42       5.183046664817e+43       1.890419471194e+44       5.262016811961e+14       5.262016811961e+14      -1.813401603658e+23       1.568700004382e-07       4.065591980468e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.275110030525e-11       8.642262770463e-01       2.783518098571e-30       2.783518098571e-30       8.642262770891e-01       1.890419471194e+44       6.301398237045e+43      -4.343188582130e+52       7.989811522723e-06       1.377925611375e+00       7.071067811865e-05       0.000000000000e+00 
       7.894035946874e+13       1.211862184875e-25       5.866240826435e-09       1.345682626432e+22       1.406980783868e+04       1.782333895281e-10       1.110675688442e+18       3.386848941617e-09       1.068502323054e+44       1.246289464866e+33       6.579007189710e+33       2.458674389059e+43       8.195581296863e+42       4.964919690441e+43       1.810861731082e+44       5.220275946764e+14       5.220275946764e+14      -1.779782786402e+23       1.568700004638e-07       4.093196823877e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.321310964973e-11       8.642262770459e-01       2.882757892092e-30       2.882757892092e-30       8.642262770891e-01       1.810861731082e+44       6.036205770013e+43      -4.115926144215e+52       8.108150977922e-06       1.357814618548e+00       7.071067811865e-05       0.000000000000e+00 
       7.809637522728e+13       1.238196805965e-25       5.929905455559e-09       1.317061940364e+22       1.406980783868e+04       1.801595502702e-10       1.098800992346e+18       3.423450475638e-09       1.023534721195e+44       1.206741520011e+33       6.370238504405e+33       2.355201810064e+43       7.850672700212e+42       4.755972524782e+43       1.734652154755e+44       5.176919618016e+14       5.176919618016e+14      -1.746130669283e+23       1.568700004898e-07       4.120214552960e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.368011190973e-11       8.642262770455e-01       2.984413678457e-30       2.984413678457e-30       8.642262770892e-01       1.734652154755e+44       5.782173848931e+43      -3.900555479985e+52       8.226490433121e-06       1.338282225783e+00       7.071067811865e-05       0.000000000000e+00 
       7.726141437266e+13       1.265103696969e-25       5.993570084684e-09       1.289049974104e+22       1.406980783868e+04       1.821065269504e-10       1.087053253568e+18       3.460447560898e-09       9.804595674597e+43       1.168448532360e+33       6.168094582223e+33       2.256083843722e+43       7.520279479072e+42       4.555818838324e+43       1.661649835738e+44       5.132059423171e+14       5.132059423171e+14      -1.712492871184e+23       1.568700005163e-07       4.146657654772e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.415216104376e-11       8.642262770451e-01       3.088532440947e-30       3.088532440947e-30       8.642262770892e-01       1.661649835738e+44       5.538832785548e+43      -3.696454338430e+52       8.344829888321e-06       1.319303817401e+00       7.071067811865e-05       0.000000000000e+00 
       7.643538043208e+13       1.292595293716e-25       6.059053703211e-09       1.261633781080e+22       1.406980783868e+04       1.840745445257e-10       1.075431114756e+18       3.497844472101e-09       9.391972187335e+43       1.131370678919e+33       5.972365202478e+33       2.161137227456e+43       7.203790758188e+42       4.364088560117e+43       1.591719797562e+44       5.085803091219e+14       5.085803091219e+14      -1.678913860971e+23       1.568700005433e-07       4.172538350790e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.462931159290e-11       8.642262770447e-01       3.195162301185e-30       3.195162301185e-30       8.642262770893e-01       1.591719797562e+44       5.305732658303e+43      -3.503033028555e+52       8.463169343520e-06       1.300856154516e+00       7.071067811865e-05       0.000000000000e+00 
       7.561817796419e+13       1.320684302274e-25       6.124537321739e-09       1.234800690073e+22       1.406980783868e+04       1.860638303841e-10       1.063933233068e+18       3.535645530150e-09       8.996713836576e+43       1.095469400378e+33       5.782846815344e+33       2.070186411243e+43       6.900621370811e+42       4.180427193533e+43       1.524732744204e+44       5.038254518218e+14       5.038254518218e+14      -1.645435085411e+23       1.568700005707e-07       4.197868602557e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.511161868772e-11       8.642262770443e-01       3.304352541368e-30       3.304352541368e-30       8.642262770894e-01       1.524732744204e+44       5.082442480451e+43      -3.319732715637e+52       8.581508798720e-06       1.282917280103e+00       7.071067811865e-05       0.000000000000e+00 
       7.480971254804e+13       1.349383704826e-25       6.190020940267e-09       1.208538299362e+22       1.406980783868e+04       1.880746143711e-10       1.052558280018e+18       3.573855102643e-09       8.618089815724e+43       1.060707361015e+33       5.599342330242e+33       1.983063233028e+43       6.610210776759e+42       4.004495160833e+43       1.460564821025e+44       4.989513810890e+14       4.989513810890e+14      -1.612095095750e+23       1.568700005985e-07       4.222660117208e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.559913805525e-11       8.642262770438e-01       3.416153627053e-30       3.416153627053e-30       8.642262770894e-01       1.460564821025e+44       4.868549403195e+43      -3.146023806638e+52       8.699848253919e-06       1.265466431817e+00       7.071067811865e-05       0.000000000000e+00 
       7.400989077217e+13       1.378706765662e-25       6.257323548198e-09       1.182834470994e+22       1.406980783868e+04       1.901071288160e-10       1.041304941326e+18       3.612477604379e-09       8.255400073962e+43       1.027048409862e+33       5.421660910701e+33       1.899606607805e+43       6.332022026018e+42       3.835967175302e+43       1.399097385771e+44       4.939677337316e+14       4.939677337316e+14      -1.578929672563e+23       1.568700006269e-07       4.246924352888e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.609192602420e-11       8.642262770434e-01       3.530617230474e-30       3.530617230474e-30       8.642262770895e-01       1.399097385771e+44       4.663657952356e+43      -2.981404420095e+52       8.818187709119e-06       1.248483961830e+00       7.071067811865e-05       0.000000000000e+00 
       7.321862022383e+13       1.408667037318e-25       6.324626156129e-09       1.157677325170e+22       1.406980783868e+04       1.921616085590e-10       1.030171916763e+18       3.651517497866e-09       7.907974021903e+43       9.944575431155e+32       5.249617775964e+33       1.819662229786e+43       6.065540765953e+42       3.674531639822e+43       1.340216789214e+44       4.888837783823e+14       4.888837783823e+14      -1.545971948520e+23       1.568700006557e-07       4.270672524046e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.659003953191e-11       8.642262770430e-01       3.647796254434e-30       3.647796254434e-30       8.642262770896e-01       1.340216789214e+44       4.467389297170e+43      -2.825398936081e+52       8.936527164318e-06       1.231951263037e+00       7.071067811865e-05       0.000000000000e+00 
