# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   77       1.896568902338e+03       3.910408116713e-01       1.730960444780e-03      -8.450842722810e+00       1.191395215902e-07       5.725903200236e-04      -1.614209572896e-06 
   78       1.920611631292e+03       4.043956957784e-01       1.776353148260e-03      -8.937990932604e+00       1.184335323448e-07       5.644530836483e-04      -1.692153815403e-06 
   79       1.944880288059e+03       4.178913654146e-01       1.822356482026e-03      -9.434648729498e+00       1.177308034925e-07       5.565519191808e-04      -1.790853638757e-06 
   80       1.969374219593e+03       4.315191355756e-01       1.868969746620e-03      -9.940415786343e+00       1.170348675268e-07       5.488916580344e-04      -1.904660055738e-06 
   81       1.994090106938e+03       4.452700153358e-01       1.916192061980e-03      -1.045486572649e+01       1.163464220326e-07       5.414655316989e-04      -2.026855001174e-06 
   82       2.019021830928e+03       4.591347073972e-01       1.964022361158e-03      -1.097754573175e+01       1.156628725223e-07       5.342540619689e-04      -2.149580590449e-06 
   83       2.044160337885e+03       4.731036076393e-01       2.012459384041e-03      -1.150797615041e+01       1.149778465222e-07       5.272239180051e-04      -2.263766589307e-06 
   84       2.069497132669e+03       4.871663635426e-01       2.061501806756e-03      -1.204569064139e+01       1.142842533593e-07       5.203403666550e-04      -2.361041195828e-06 
   85       2.095035717342e+03       5.013104663386e-01       2.111148668277e-03      -1.259036511211e+01       1.135858422807e-07       5.136108588106e-04      -2.440180769872e-06 
   86       2.120781811377e+03       5.155224235569e-01       2.161399003357e-03      -1.314170953644e+01       1.128884784913e-07       5.070500741286e-04      -2.502120643309e-06 
   87       2.146739820657e+03       5.297881716512e-01       2.212251709191e-03      -1.369942960397e+01       1.121966644858e-07       5.006666671842e-04      -2.548130442824e-06 
   88       2.172912764141e+03       5.440930681343e-01       2.263705541420e-03      -1.426322700925e+01       1.115132951691e-07       4.944626782783e-04      -2.579837445104e-06 
   89       2.199302200524e+03       5.584218837145e-01       2.315759110130e-03      -1.483279974112e+01       1.108393979112e-07       4.884329273376e-04      -2.599250512345e-06 
   90       2.225908154907e+03       5.727587944303e-01       2.368410875853e-03      -1.540784237188e+01       1.101738571836e-07       4.825643909104e-04      -2.608784608057e-06 
