#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.112144422306e+00       1.555952818725e-05      -1.668416977071e-03      -9.808575281101e-08       3.959060874291e-08       9.897652185728e-08       1.037100700190e-13       1.979530437146e-08      -1.251312732804e-03      -9.808574993904e-08       6.010713307166e-01       6.968779463693e-01      -1.668415551535e-03      -1.470894205010e-07       2.020917870275e-04      -1.251314872939e-03       1.122718071227e-23      -1.670134445843e-03      -1.472411203235e-07       2.022997688943e-04       3.333325921096e-01      -3.069399700081e-05      -1.683009819829e-11 
       7.118068316354e+00       1.557265582722e-05      -1.671182098819e-03      -9.832955810867e-08       3.969030746055e-08       9.922576865138e-08       1.041467529895e-13       1.984515373028e-08      -1.253386574115e-03      -9.832955445135e-08       6.010712793420e-01       6.968754311809e-01      -1.671180285740e-03      -1.474565296338e-07       2.024276879438e-04      -1.253389296022e-03       2.299639290599e-23      -1.672902027808e-03      -1.476086072106e-07       2.026360150470e-04       3.333325908583e-01      -3.897284039967e-05      -2.714871682554e-11 
       7.123992210403e+00       1.558578374705e-05      -1.673949486790e-03      -9.857376438510e-08       3.979017454417e-08       9.947543636042e-08       1.045849124063e-13       1.989508727208e-08      -1.255462115092e-03      -9.857375993851e-08       6.010712274470e-01       6.968729158220e-01      -1.673947285192e-03      -1.478242474503e-07       2.027638669476e-04      -1.255465420216e-03       4.099586426519e-23      -1.675671878295e-03      -1.479767034900e-07       2.029725396856e-04       3.333325896060e-01      -4.724476959037e-05      -3.991878598535e-11 
       7.129916104451e+00       1.559891194603e-05      -1.676719140919e-03      -9.881837196179e-08       3.989021008019e-08       9.972552520048e-08       1.050245518781e-13       1.994510504010e-08      -1.257539355689e-03      -9.881836672200e-08       6.010711753850e-01       6.968704006882e-01      -1.676716549826e-03      -1.481925744511e-07       2.031003240356e-04      -1.257543245478e-03       6.654606794141e-23      -1.678443996334e-03      -1.483454095832e-07       2.033093426973e-04       3.333325883525e-01      -5.550981877043e-05      -5.513829650106e-11 
       7.135839998499e+00       1.561204042360e-05      -1.679491061142e-03      -9.906338116001e-08       3.999041416865e-08       9.997603542163e-08       1.054656750570e-13       1.999520708433e-08      -1.259618295857e-03      -9.906337512307e-08       6.010711234257e-01       6.968678860810e-01      -1.679488079577e-03      -1.485615111366e-07       2.034370592042e-04      -1.259622771761e-03       1.009644616902e-22      -1.681218381161e-03      -1.487147259294e-07       2.036464239943e-04       3.333325870980e-01      -6.376802197203e-05      -7.280525052880e-11 
       7.152949311420e+00       1.564995948149e-05      -1.687509607992e-03      -9.977327151093e-08       4.028076980601e-08       1.007019245150e-07       1.067480861080e-13       2.014038490301e-08      -1.265632205994e-03      -9.977326314942e-08       6.010709752772e-01       6.968606278764e-01      -1.687505493162e-03      -1.496304971195e-07       2.044111746531e-04      -1.265638382872e-03       2.621867335929e-22      -1.689244046609e-03      -1.497848113256e-07       2.046215398479e-04       3.333325834687e-01      -8.758112578251e-05      -1.375547375761e-10 
       7.170058624340e+00       1.568788085992e-05      -1.695547055581e-03      -1.004865224522e-07       4.057253586160e-08       1.014313396540e-07       1.080429959378e-13       2.028626793080e-08      -1.271660291686e-03      -1.004865117329e-07       6.010708296656e-01       6.968533758982e-01      -1.695541799275e-03      -1.507045850829e-07       2.053876096161e-04      -1.271668181713e-03       5.399137496533e-22      -1.697288613960e-03      -1.508600030468e-07       2.055989763672e-04       3.333325798303e-01      -1.113382145396e-04      -2.226559430704e-10 
       7.187167937260e+00       1.572580456970e-05      -1.703603402332e-03      -1.012031417182e-07       4.086571673367e-08       1.021642918342e-07       1.093504990322e-13       2.043285836683e-08      -1.277702551749e-03      -1.012031286075e-07       6.010706813053e-01       6.968461241721e-01      -1.703596996298e-03      -1.517837870747e-07       2.063663640035e-04      -1.277712167157e-03       9.655658190123e-22      -1.705352095295e-03      -1.519403143675e-07       2.065787351218e-04       3.333325761829e-01      -1.350400882930e-04      -3.280621476540e-10 
       7.204277250181e+00       1.576373061881e-05      -1.711678646737e-03      -1.019231370427e-07       4.116031661248e-08       1.029007915312e-07       1.106706897873e-13       2.058015830624e-08      -1.283758985054e-03      -1.019231215068e-07       6.010705263132e-01       6.968388683070e-01      -1.711671082684e-03      -1.528681151434e-07       2.073474377448e-04      -1.283770338132e-03       1.570418198349e-21      -1.713434499417e-03      -1.530257582755e-07       2.075608172951e-04       3.333325725265e-01      -1.586875377926e-04      -4.537273030397e-10 
       7.221386563101e+00       1.580165899386e-05      -1.719772787291e-03      -1.026465161584e-07       4.145633789328e-08       1.036408447332e-07       1.120036579463e-13       2.072816894664e-08      -1.289829590470e-03      -1.026464981632e-07       6.010703711956e-01       6.968316155830e-01      -1.719764056888e-03      -1.539575813373e-07       2.083308307694e-04      -1.289842693566e-03       2.385599483580e-21      -1.721535807815e-03      -1.541163453214e-07       2.085452207613e-04       3.333325688610e-01      -1.822813442558e-04      -5.996060293088e-10 
