# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)w_scf              19:(.)Om                 20:(.)Our                21:(.)Oscf               22:(.)OscfKin            23:(.)Otot               24:phi_scf               25:phi'_scf              26:V_scf                 27:V'_scf                28:V''_scf               29:gr.fac. D             30:gr.fac. f             31:beta                  32:dbeta/dz           
       8.697823467967e+13       9.982291672066e-26       5.324181984179e-09       1.633674852449e+22       1.420207732981e+04       1.632831176916e-10       1.235271614931e+18       3.073861798800e-09       1.574785573594e+44       1.667068293281e+33       8.800246326409e+33       3.623656097432e+43       1.207885365811e+43       7.317423400833e+43       2.668893523525e+44       2.393411029860e+20       2.393411029860e+20       1.000000000000e+00       3.921967859499e-11       8.642262770494e-01       8.967802607199e-25       8.967802607199e-25       8.642262770886e-01       1.568700000201e-03       2.515434730808e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.480723428418e-06       7.167828077816e+00       7.071067812069e-08       0.000000000000e+00 
       8.637361934426e+13       1.012253288777e-25       5.360561772250e-09       1.611041332765e+22       1.420207732981e+04       1.644260995154e-10       1.226684821183e+18       3.095378831392e-09       1.531452550306e+44       1.632544318613e+33       8.617998554993e+33       3.523944761049e+43       1.174648253683e+43       7.116071493655e+43       2.595454175879e+44       2.295305465493e+20       2.295305465493e+20       1.000000000000e+00       3.949421634514e-11       8.642262770491e-01       8.843559970448e-25       8.843559970448e-25       8.642262770886e-01       1.568700000210e-03       2.480585066560e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.554759599839e-06       6.826502931254e+00       7.071067812069e-08       0.000000000000e+00 
       8.577320689599e+13       1.026474435231e-25       5.398760549724e-09       1.588721386014e+22       1.420207732981e+04       1.655770822120e-10       1.218157717162e+18       3.117046483211e-09       1.489311912151e+44       1.598735314550e+33       8.439525024541e+33       3.426977159264e+43       1.142325719755e+43       6.920260141986e+43       2.524035642377e+44       2.201221235562e+20       2.201221235562e+20       1.000000000000e+00       3.977067585955e-11       8.642262770489e-01       8.721038635926e-25       8.721038635926e-25       8.642262770886e-01       1.568700000219e-03       2.446218222109e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.628795771260e-06       6.516207343469e+00       7.071067812069e-08       0.000000000000e+00 
       8.517696811915e+13       1.040895374571e-25       5.436959327199e-09       1.566710667841e+22       1.420207732981e+04       1.667361217875e-10       1.209689887947e+18       3.138865808594e-09       1.448330848536e+44       1.565626474484e+33       8.264747572811e+33       3.332677793344e+43       1.110892597781e+43       6.729836887594e+43       2.454582316728e+44       2.110993506036e+20       2.110993506036e+20       1.000000000000e+00       4.004907059055e-11       8.642262770486e-01       8.600214756091e-25       8.600214756091e-25       8.642262770887e-01       1.568700000228e-03       2.412327508297e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.702831942681e-06       6.232893980709e+00       7.071067812069e-08       0.000000000000e+00 
       8.458487400115e+13       1.055518913688e-25       5.475158104673e-09       1.545004894084e+22       1.420207732981e+04       1.679032746400e-10       1.201280921496e+18       3.160837869254e-09       1.408477451704e+44       1.533203298443e+33       8.093589656249e+33       3.240973242037e+43       1.080324414012e+43       6.544653467408e+43       2.387040122745e+44       2.024464199413e+20       2.024464199413e+20       1.000000000000e+00       4.032941408467e-11       8.642262770484e-01       8.481064813796e-25       8.481064813796e-25       8.642262770887e-01       1.568700000237e-03       2.378906328638e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.776868114102e-06       5.973190064846e+00       7.071067812069e-08       0.000000000000e+00 
       8.399689573103e+13       1.070347898907e-25       5.513356882147e-09       1.523599839933e+22       1.420207732981e+04       1.690785975625e-10       1.192930408636e+18       3.182963734338e-09       1.369720691902e+44       1.501451586740e+33       7.925976316474e+33       3.151792104408e+43       1.050597368136e+43       6.364565698081e+43       2.321356472245e+44       1.941481717771e+20       1.941481717771e+20       1.000000000000e+00       4.061171998326e-11       8.642262770481e-01       8.363565617707e-25       8.363565617707e-25       8.642262770888e-01       1.568700000246e-03       2.345948178037e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.850904285522e-06       5.734262462252e+00       7.071067812069e-08       0.000000000000e+00 
       8.341300469814e+13       1.085385216539e-25       5.551555659622e-09       1.502491339111e+22       1.420207732981e+04       1.702621477455e-10       1.184637943035e+18       3.205244480478e-09       1.332030393213e+44       1.470357433756e+33       7.761834147449e+33       3.065064944248e+43       1.021688314749e+43       6.189433363725e+43       2.257480224102e+44       1.861900677170e+20       1.861900677170e+20       1.000000000000e+00       4.089600202313e-11       8.642262770479e-01       8.247694297791e-25       8.247694297791e-25       8.642262770888e-01       1.568700000255e-03       2.313446641522e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.924940456943e-06       5.513713906012e+00       7.071067812069e-08       0.000000000000e+00 
       8.283317249071e+13       1.100633793446e-25       5.589754437096e-09       1.481675283059e+22       1.420207732981e+04       1.714539827797e-10       1.176403121186e+18       3.227681191842e-09       1.295377210063e+44       1.439907221847e+33       7.601091263329e+33       2.980724236004e+43       9.935747453346e+42       6.019120106740e+43       2.195361644428e+44       1.785581652943e+20       1.785581652943e+20       1.000000000000e+00       4.118227403728e-11       8.642262770477e-01       8.133428300866e-25       8.133428300866e-25       8.642262770888e-01       1.568700000264e-03       2.281395392998e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.998976628364e-06       5.309502279863e+00       7.071067812069e-08       0.000000000000e+00 
       8.225737089444e+13       1.116096597610e-25       5.629772203974e-09       1.461147620144e+22       1.420207732981e+04       1.726541606591e-10       1.168225542390e+18       3.250274960184e-09       1.259732604377e+44       1.410087615385e+33       7.443677266982e+33       2.898704312212e+43       9.662347707373e+42       5.853493321650e+43       2.134952367852e+44       1.712390935423e+20       1.712390935423e+20       1.000000000000e+00       4.147054995552e-11       8.642262770474e-01       8.020745386209e-25       8.020745386209e-25       8.642262770889e-01       1.568700000273e-03       2.249788194012e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       2.073012799785e-06       5.119877198439e+00       7.071067812069e-08       0.000000000000e+00 
       8.168557189121e+13       1.131776638709e-25       5.669789970852e-09       1.440904354863e+22       1.420207732981e+04       1.738627397838e-10       1.160104808729e+18       3.273026884906e-09       1.225068823353e+44       1.380885554911e+33       7.289523219160e+33       2.818941312364e+43       9.396471041213e+42       5.692424051854e+43       2.076205359862e+44       1.642200295689e+20       1.642200295689e+20       1.000000000000e+00       4.176084380520e-11       8.642262770472e-01       7.909623621229e-25       7.909623621229e-25       8.642262770889e-01       1.568700000282e-03       2.218618892543e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       2.147048971206e-06       4.943329708838e+00       7.071067812069e-08       0.000000000000e+00 
